Australia				0.309	0.317	0.315	0.336
Austria		0.236		0.238	0.252	0.265	0.261
Belgium		0.274		0.287	0.289	0.271	0.259
Canada	0.304	0.293	0.287	0.289	0.318	0.317	0.324
Chile				0.427		0.403	0.394
Czech_Republic			0.232	0.257	0.260	0.268	0.256
Denmark		0.221	0.226	0.215	0.226	0.232	0.248
Estonia						0.349	0.315
Finland	0.235	0.209		0.218	0.247	0.254	0.259
France		0.300	0.290	0.277	0.287	0.288	0.293
Germany		0.251	0.256	0.266	0.264	0.285	0.295
Greece	0.413	0.336		0.336	0.345	0.321	0.307
Hungary			0.273	0.294	0.293	0.291	0.272
Iceland						0.257	0.301
Ireland		0.331		0.324	0.304	0.314	0.293
Israel		0.326	0.329	0.338	0.347	0.378	0.371
Italy		0.309	0.297	0.348	0.343	0.352	0.337
Japan		0.304		0.323	0.337	0.321	0.329
Luxembourg		0.247		0.259	0.261	0.258	0.288
Mexico		0.452		0.519	0.507	0.474	0.476
Netherlands	0.263	0.272	0.292	0.297	0.292	0.284	0.294
New_Zealand		0.271	0.318	0.335	0.339	0.335	0.330
Norway		0.222		0.243	0.261	0.276	0.250
Poland					0.316	0.349	0.305
Portugal	0.354		0.329	0.359	0.356	0.385	0.353
Slovak_Republic						0.268	0.257
Slovenia						0.246	0.236
South_Korea						0.306	0.315
Spain		0.371	0.337	0.343	0.342	0.319	0.317
Sweden	0.212	0.198	0.209	0.211	0.243	0.234	0.259
Switzerland					0.279	0.276	0.303
Turkey		0.434		0.490		0.430	0.409
United_Kingdom	0.268	0.309	0.354	0.336	0.351	0.331	0.345
United_States	0.316	0.337	0.348	0.361	0.357	0.380	0.378

