Australia				0.467	0.476	0.465	0.468
Austria						0.433	0.472
Belgium		0.449		0.472	0.464	0.494	0.469
Canada	0.385	0.395	0.403	0.430	0.440	0.436	0.441
Chile				0.441		0.414	0.426
Czech_Republic				0.442	0.472	0.474	0.444
Denmark		0.373	0.396	0.417	0.415	0.417	0.416
Estonia						0.504	0.458
Finland	0.343	0.387		0.479	0.478	0.483	0.465
France		0.380	0.370	0.473	0.490	0.485	0.483
Germany		0.439	0.429	0.459	0.471	0.499	0.504
Greece	0.448	0.426		0.446	0.466	0.454	0.436
Hungary			0.452	0.496	0.463	0.497	0.466
Iceland						0.365	0.382
Ireland							
Israel		0.472	0.476	0.494	0.504	0.513	0.498
Italy		0.420	0.437	0.508	0.516	0.557	0.534
Japan		0.345		0.403	0.432	0.443	0.462
Luxembourg		0.383		0.427	0.421	0.454	0.482
Mexico		0.453		0.532	0.517	0.491	0.494
Netherlands	0.426	0.473	0.474	0.484	0.424	0.426	0.426
New_Zealand		0.408	0.468	0.488	0.484	0.473	0.455
Norway		0.351		0.404	0.426	0.447	0.410
Poland						0.542	0.470
Portugal	0.457		0.436	0.490	0.479	0.542	0.521
Slovak_Republic						0.458	0.416
Slovenia						0.452	0.423
South_Korea						0.331	0.344
Spain							0.461
Sweden	0.389	0.404	0.408	0.438	0.446	0.432	0.426
Switzerland							0.409
Turkey							0.470
United_Kingdom	0.338	0.419	0.439	0.453	0.458	0.445	0.456
United_States	0.406	0.436	0.450	0.477	0.476	0.486	0.486

